Date,Close/Last
07/12/2017,$145.74
07/11/2017,$145.53
07/10/2017,$145.06
07/07/2017,$144.18
07/06/2017,$142.73
07/05/2017,$144.09
07/03/2017,$143.5
06/30/2017,$144.02
06/29/2017,$143.68
06/28/2017,$145.83
06/27/2017,$143.73
06/26/2017,$145.82
06/23/2017,$146.28
06/22/2017,$145.63
06/21/2017,$145.87
06/20/2017,$145.01
06/19/2017,$146.34
06/16/2017,$142.27
06/15/2017,$144.29
06/14/2017,$145.16
06/13/2017,$146.59
06/12/2017,$145.42
06/09/2017,$148.98
06/08/2017,$154.99
06/07/2017,$155.37
06/06/2017,$154.45
06/05/2017,$153.93
06/02/2017,$155.45
06/01/2017,$153.18
05/31/2017,$152.76
05/30/2017,$153.67
05/26/2017,$153.61
05/25/2017,$153.87
05/24/2017,$153.34
05/23/2017,$153.8
05/22/2017,$153.99
05/19/2017,$153.06
05/18/2017,$152.54
05/17/2017,$150.25
05/16/2017,$155.47
05/15/2017,$155.7
05/12/2017,$156.1
05/11/2017,$153.95
05/10/2017,$153.26
05/09/2017,$153.99
05/08/2017,$153.01
05/05/2017,$148.96
05/04/2017,$146.53
05/03/2017,$147.06
05/02/2017,$147.51
05/01/2017,$146.58
04/28/2017,$143.65
04/27/2017,$143.79
04/26/2017,$143.68
04/25/2017,$144.53
04/24/2017,$143.64
04/21/2017,$142.27
04/20/2017,$142.44
04/19/2017,$140.68
04/18/2017,$141.2
04/17/2017,$141.83
04/13/2017,$141.05
04/12/2017,$141.8
04/11/2017,$141.63
04/10/2017,$143.17
04/07/2017,$143.34
04/06/2017,$143.66
04/05/2017,$144.02
04/04/2017,$144.77
04/03/2017,$143.7
03/31/2017,$143.66
03/30/2017,$143.93
03/29/2017,$144.12
03/28/2017,$143.8
03/27/2017,$140.88
03/24/2017,$140.64
03/23/2017,$140.92
03/22/2017,$141.42
03/21/2017,$139.84
03/20/2017,$141.46
03/17/2017,$139.99
03/16/2017,$140.69
03/15/2017,$140.46
03/14/2017,$138.99
03/13/2017,$139.2
03/10/2017,$139.14
03/09/2017,$138.68
03/08/2017,$139
03/07/2017,$139.52
03/06/2017,$139.34
03/03/2017,$139.78
03/02/2017,$138.96
03/01/2017,$139.79
02/28/2017,$136.99
02/27/2017,$136.93
02/24/2017,$136.66
02/23/2017,$136.53
02/22/2017,$137.11
02/21/2017,$136.7
02/17/2017,$135.72
02/16/2017,$135.345
02/15/2017,$135.51
02/14/2017,$135.02
02/13/2017,$133.29
02/10/2017,$132.12
02/09/2017,$132.42
02/08/2017,$132.04
02/07/2017,$131.53
02/06/2017,$130.29
02/03/2017,$129.08
02/02/2017,$128.53
02/01/2017,$128.75
01/31/2017,$121.35
01/30/2017,$121.63
01/27/2017,$121.95
01/26/2017,$121.94
01/25/2017,$121.88
01/24/2017,$119.97
01/23/2017,$120.08
01/20/2017,$120
01/19/2017,$119.78
01/18/2017,$119.99
01/17/2017,$120
01/13/2017,$119.04
01/12/2017,$119.25
01/11/2017,$119.75
01/10/2017,$119.11
01/09/2017,$118.99
01/06/2017,$117.91
01/05/2017,$116.61
01/04/2017,$116.02
01/03/2017,$116.15
12/30/2016,$115.82
12/29/2016,$116.73
12/28/2016,$116.76
12/27/2016,$117.26
12/23/2016,$116.52
12/22/2016,$116.29
12/21/2016,$117.06
12/20/2016,$116.95
12/19/2016,$116.64
12/16/2016,$115.97
12/15/2016,$115.82
12/14/2016,$115.19
12/13/2016,$115.19
12/12/2016,$113.3
12/09/2016,$113.95
12/08/2016,$112.12
12/07/2016,$111.03
12/06/2016,$109.95
12/05/2016,$109.11
12/02/2016,$109.9
12/01/2016,$109.49
11/30/2016,$110.52
11/29/2016,$111.46
11/28/2016,$111.57
11/25/2016,$111.79
11/23/2016,$111.23
11/22/2016,$111.8
11/21/2016,$111.73
11/18/2016,$110.06
11/17/2016,$109.95
11/16/2016,$109.99
11/15/2016,$107.11
11/14/2016,$105.71
11/11/2016,$108.43
11/10/2016,$107.79
11/09/2016,$110.88
11/08/2016,$111.06
11/07/2016,$110.41
11/04/2016,$108.84
11/03/2016,$109.83
11/02/2016,$111.59
11/01/2016,$111.49
10/31/2016,$113.54
10/28/2016,$113.72
10/27/2016,$114.48
10/26/2016,$115.59
10/25/2016,$118.25
10/24/2016,$117.65
10/21/2016,$116.6
10/20/2016,$117.06
10/19/2016,$117.12
10/18/2016,$117.47
10/17/2016,$117.55
10/14/2016,$117.63
10/13/2016,$116.98
10/12/2016,$117.34
10/11/2016,$116.3
